epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9317,1.17234,2.87174,1.09753,0.00333,0.57143,0.00719,0.00541,0.78531,3.50446,0.83304,0.0005,0.0005,0.0005
2,66.5499,1.08541,1.56854,0.98426,0.00361,0.61905,0.05659,0.04967,1.11304,3.55407,0.9491,0.00100738,0.00100738,0.00100738
3,89.944,1.1215,1.41878,0.99442,0.3073,0.14286,0.12225,0.10171,1.10946,3.02868,0.95925,0.00150189,0.00150189,0.00150189
4,110.655,1.11776,1.35964,1.01325,0.63117,0.47619,0.4723,0.34463,1.05073,2.16219,0.87133,0.00192575,0.00192575,0.00192575
5,136.296,1.16825,1.29763,1.05672,0.86508,0.6111,0.62945,0.45894,0.99252,1.27186,0.87529,0.001901,0.001901,0.001901
6,160.091,1.18174,1.19654,1.04482,0.91511,0.61905,0.67198,0.53372,0.93173,1.10426,0.88126,0.00187625,0.00187625,0.00187625
7,184.919,1.08762,1.11715,1.02856,0.95183,0.57143,0.65336,0.50032,0.91092,0.92899,0.85313,0.0018515,0.0018515,0.0018515
8,208.683,1.15989,1.09858,1.02965,0.81545,0.66667,0.68093,0.50622,0.861,1.21985,0.84689,0.00182675,0.00182675,0.00182675
9,236.052,1.07433,1.03484,1.01069,0.80528,0.66667,0.7146,0.56117,0.74678,0.93718,0.81797,0.001802,0.001802,0.001802
10,265.876,0.99118,0.94852,0.98773,0.90562,0.57143,0.67536,0.53357,0.75465,0.93605,0.80407,0.00177725,0.00177725,0.00177725
11,292.967,0.94118,0.9334,0.97906,0.94284,0.57143,0.68055,0.52143,0.69161,1.06065,0.79747,0.0017525,0.0017525,0.0017525
12,318.952,0.978,0.86879,0.99824,0.92179,0.56185,0.60267,0.43842,0.80041,0.83245,0.82408,0.00172775,0.00172775,0.00172775
13,348.65,0.97622,0.8858,0.99873,0.97951,0.47619,0.54921,0.40139,0.752,0.94645,0.82336,0.001703,0.001703,0.001703
14,375.124,0.89792,0.80245,0.96302,0.78913,0.61905,0.67185,0.48911,0.6891,0.64779,0.80353,0.00167825,0.00167825,0.00167825
15,406.002,0.87962,0.79643,0.9312,1,0.47522,0.5122,0.40912,0.69527,0.6537,0.80797,0.0016535,0.0016535,0.0016535
16,436.304,0.87901,0.78382,0.96397,0.98082,0.47619,0.51037,0.40241,0.64321,0.62772,0.80452,0.00162875,0.00162875,0.00162875
17,464.963,0.91737,0.81294,0.95819,0.89381,0.47619,0.56184,0.44733,0.79182,0.83947,0.82728,0.001604,0.001604,0.001604
18,491.957,0.85194,0.74524,0.94521,0.88604,0.61905,0.70361,0.55697,0.70371,0.78487,0.80815,0.00157925,0.00157925,0.00157925
19,526.258,0.90347,0.78616,0.96445,0.92532,0.66667,0.66138,0.50495,0.68631,0.80907,0.80995,0.0015545,0.0015545,0.0015545
20,561.12,0.86225,0.74986,0.96331,0.876,0.7619,0.77578,0.58403,0.75648,0.65968,0.81199,0.00152975,0.00152975,0.00152975
21,594.05,0.85888,0.73048,0.92996,0.82573,0.7619,0.7639,0.58096,0.74918,0.60041,0.79849,0.001505,0.001505,0.001505
22,619.055,0.84843,0.73002,0.92705,0.8799,0.7619,0.77104,0.57301,0.80581,0.57337,0.80504,0.00148025,0.00148025,0.00148025
23,645.656,0.85403,0.71009,0.95422,0.92106,0.71429,0.73907,0.56787,0.66757,0.60466,0.79087,0.0014555,0.0014555,0.0014555
24,670.688,0.8525,0.73086,0.93682,0.88439,0.80952,0.79145,0.58241,0.72926,0.56916,0.80949,0.00143075,0.00143075,0.00143075
25,693.582,0.84323,0.71332,0.9265,0.93049,0.7619,0.75778,0.5914,0.73771,0.58783,0.79987,0.001406,0.001406,0.001406
26,718.365,0.85737,0.73674,0.93979,0.9232,0.80952,0.79227,0.56071,0.75069,0.56234,0.80561,0.00138125,0.00138125,0.00138125
27,742.781,0.80428,0.69745,0.93357,0.86961,0.80952,0.78934,0.64637,0.5793,0.51585,0.77066,0.0013565,0.0013565,0.0013565
28,766.176,0.78744,0.65677,0.90675,0.78581,0.7619,0.76434,0.56315,0.67661,0.55828,0.78781,0.00133175,0.00133175,0.00133175
29,789.916,0.78433,0.65439,0.91284,0.81916,0.71429,0.77079,0.55814,0.72612,0.57067,0.8075,0.001307,0.001307,0.001307
30,814.367,0.82449,0.70751,0.96206,0.78099,0.80952,0.77259,0.61481,0.68263,0.60355,0.80753,0.00128225,0.00128225,0.00128225
31,836.513,0.77445,0.63685,0.91666,0.78931,0.71361,0.73825,0.59056,0.64724,0.6281,0.79018,0.0012575,0.0012575,0.0012575
32,863.055,0.7526,0.64817,0.9088,0.84833,0.79943,0.78587,0.62705,0.66678,0.50957,0.80021,0.00123275,0.00123275,0.00123275
33,891.527,0.73655,0.63474,0.90587,0.99987,0.66667,0.66929,0.48897,0.63037,0.48242,0.79367,0.001208,0.001208,0.001208
