epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.4348,1.17067,2.85536,1.098,0.00361,0.61905,0.00784,0.00579,0.84714,3.53513,0.82719,0.0005,0.0005,0.0005
2,192.934,1.127,1.57688,0.99615,0.00361,0.61905,0.16439,0.12584,1.02873,3.41978,0.87349,0.000999804,0.000999804,0.000999804
3,287.18,1.12428,1.42892,1.00145,0.99912,0.52381,0.57059,0.4117,1.1329,2.37405,0.95893,0.00147902,0.00147902,0.00147902
4,381.287,1.11086,1.34103,1.02235,0.96463,0.47619,0.48164,0.38041,0.98158,2.3033,0.89215,0.0018812,0.0018812,0.0018812
5,473.871,1.16691,1.29727,1.05202,0.87994,0.61905,0.58962,0.37016,1.22148,1.64764,0.90338,0.0018416,0.0018416,0.0018416
6,565.663,1.10501,1.21259,1.02279,0.67703,0.52381,0.52053,0.39583,0.91334,1.4846,0.8518,0.001802,0.001802,0.001802
7,658.391,1.08271,1.1302,1.03269,0.75347,0.61905,0.5878,0.45717,0.90733,1.03048,0.8397,0.0017624,0.0017624,0.0017624
8,751.155,1.07391,1.06083,0.99759,0.83019,0.57143,0.5594,0.43779,0.8498,1.06887,0.83857,0.0017228,0.0017228,0.0017228
9,844.295,1.04465,0.9692,0.99079,0.92279,0.5693,0.65248,0.50735,0.86706,1.00651,0.8434,0.0016832,0.0016832,0.0016832
10,938.085,1.01005,0.93505,0.98967,0.86447,0.61905,0.66369,0.54264,0.81072,0.821,0.81561,0.0016436,0.0016436,0.0016436
11,1033.16,0.91935,0.88061,0.97835,0.71305,0.71015,0.66926,0.53967,0.75706,0.83606,0.81977,0.001604,0.001604,0.001604
12,1126.37,0.93813,0.83492,0.9728,0.91942,0.61905,0.64993,0.52462,0.63242,0.75057,0.79259,0.0015644,0.0015644,0.0015644
13,1219.16,0.92526,0.84662,0.97927,0.91903,0.61905,0.72983,0.55535,0.70417,0.6598,0.81216,0.0015248,0.0015248,0.0015248
14,1313.9,0.90341,0.80165,0.94898,0.77944,0.71429,0.65597,0.47868,0.73521,0.71969,0.80272,0.0014852,0.0014852,0.0014852
15,1407.96,0.87983,0.77863,0.93009,0.94082,0.75724,0.75511,0.56817,0.68278,0.70102,0.79573,0.0014456,0.0014456,0.0014456
16,1501.86,0.83652,0.73893,0.94565,0.9366,0.70403,0.71152,0.5721,0.64967,0.60018,0.80179,0.001406,0.001406,0.001406
17,1595.18,0.91516,0.77178,0.95128,0.83801,0.73968,0.74797,0.5845,0.68194,0.57955,0.80368,0.0013664,0.0013664,0.0013664
18,1687,0.84399,0.73125,0.93733,0.93709,0.70959,0.69128,0.54922,0.72891,0.57746,0.80053,0.0013268,0.0013268,0.0013268
19,1779.21,0.87594,0.74765,0.95582,0.94092,0.75863,0.74128,0.55673,0.69012,0.60649,0.79783,0.0012872,0.0012872,0.0012872
20,1871.16,0.82229,0.71806,0.93724,0.90942,0.7619,0.75312,0.57653,0.7536,0.62932,0.79976,0.0012476,0.0012476,0.0012476
21,1963.2,0.85237,0.70852,0.91662,0.87713,0.7619,0.76598,0.56661,0.76908,0.62112,0.81104,0.001208,0.001208,0.001208
22,2055.9,0.83256,0.71564,0.91792,0.82981,0.66667,0.74591,0.56536,0.7615,0.67422,0.8,0.0011684,0.0011684,0.0011684
23,2147.94,0.80142,0.71119,0.93557,0.86052,0.7619,0.74344,0.5581,0.70489,0.67092,0.792,0.0011288,0.0011288,0.0011288
24,2240.37,0.78483,0.69486,0.91151,0.88423,0.7619,0.75483,0.57158,0.76435,0.66928,0.82075,0.0010892,0.0010892,0.0010892
25,2332.5,0.78669,0.69754,0.92231,0.93046,0.66667,0.7362,0.60663,0.64357,0.51399,0.78841,0.0010496,0.0010496,0.0010496
26,2424.56,0.79249,0.67921,0.92367,0.83639,0.73087,0.74398,0.5728,0.67371,0.53807,0.79612,0.00101,0.00101,0.00101
27,2517.16,0.75946,0.63634,0.91419,0.88008,0.69956,0.76973,0.6023,0.59138,0.53613,0.78467,0.0009704,0.0009704,0.0009704
28,2609.31,0.71486,0.61375,0.89154,0.91429,0.61905,0.71453,0.5587,0.61942,0.53316,0.78476,0.0009308,0.0009308,0.0009308
29,2702.23,0.73559,0.61627,0.89518,0.85757,0.66667,0.72012,0.55641,0.66921,0.55379,0.79159,0.0008912,0.0008912,0.0008912
30,2794.76,0.74617,0.67768,0.92946,0.81975,0.7619,0.75943,0.60617,0.59644,0.58909,0.78318,0.0008516,0.0008516,0.0008516
31,2886.86,0.71413,0.59776,0.89459,0.83069,0.7619,0.73843,0.60843,0.58625,0.59093,0.779,0.000812,0.000812,0.000812
32,2978.94,0.70746,0.61936,0.88508,0.87408,0.7619,0.77855,0.60406,0.57707,0.48647,0.78272,0.0007724,0.0007724,0.0007724
33,3072.24,0.6631,0.58457,0.87819,0.94042,0.75211,0.78966,0.61918,0.58151,0.45622,0.78473,0.0007328,0.0007328,0.0007328
34,3164.65,0.67963,0.60192,0.89196,0.91708,0.7619,0.78738,0.60677,0.5832,0.54179,0.78686,0.0006932,0.0006932,0.0006932
35,3257.36,0.67937,0.57902,0.88577,0.88775,0.75358,0.78384,0.60251,0.61642,0.47629,0.78267,0.0006536,0.0006536,0.0006536
36,3350.27,0.66948,0.56362,0.884,0.94114,0.76141,0.78763,0.59628,0.61219,0.457,0.78306,0.000614,0.000614,0.000614
